;Plateforme;Proposition de feu signalétique;Localisation;"
Données recueillies et 
Politique de confidentialité 
";Conditions d'utilisation;Remarques ou alternatives;"Changement 
de statut";Statut M365;;;
;DRUIDE, ANTIDOTE;V;;;;;;autorisé;;;
;DUOLINGO;R;USA - Virginie ;"En-dessous de 13 ans, l'adresse mail des parents est obligatoire (un lien de validation est envoyé), pas de données personnelles à fournir.  

Au-dessus de 13 ans, le profil par défaut se crée en mode public. Age, nom et adresse mail à l'inscription (pas visibles dans le profil). 

Partage les données personnelles avec des tiers non impliqués dans son fontionnement.

Utilise les données personnelles pour faire de la publicité.";"Utilise les enregistrements audio des utilisateurs pour entraîner son IA.

Les données relatives au navigateur et à l'appareil, les données de connexion et l'adresse IP sont collectées.

Duolingo génère également des données concernant la participation à des activités éducatives sur le service. Utilise Google Analytics et fournit des publicités personnalisées. Les autres utilisateurs peuvent trouver un compte à partir de l'adresse e-mail, du nom d'utilisateur ou du numéro de téléphone fourni.";;;Bloqué;;;
;DYNAMILIS;V;Suisse;;;;;;;;
;EDPUZZLE;O;USA – Californie- Amazon.com Inc. ;Pour créer un compte Edpuzzle en tant qu’enseignant, il peut vous être demandé de fournir certaines informations de base telles que votre prénom et votre nom, votre adresse e-mail, votre mot de passe et votre photo de profil. Vous devrez entrer le niveau scolaire (par exemple, première année) et la matière ;"RGPD EU 

Fonction Open Class : Le terme « classe ouverte » fait référence à une fonctionnalité spécifique disponible uniquement pour les comptes d’enseignant qui permet aux étudiants d’accéder au service Edpuzzle par le biais d’une session restreinte unique élève-enseignant sans fournir de données personnelles. Si l’enseignant crée une classe ouverte, les élèves accèdent à la classe via un code unique ou un lien fourni par leur enseignant. Les enseignants ont également le choix d’attribuer des surnoms aux élèves ou d’opter pour leur attribution aléatoire par Edpuzzle 

La session unique expire à la fin du devoir ou après une période de sept jours d’inactivité ";"Utiliser uniquement la fonction Open Class. 

La fonctionnalité ne permet à l’étudiant de répondre qu’aux questions intégrées dans les leçons vidéo. ";;Accès pour personnel scolaire;;;
;EDUBASE READER;R;;;;Déconseillé pour la gestion de données personnelles d'élèves dans le navigateur EDUCA.;;Bloqué;;;
;EDUCAPLAY;O;"USA – Californie –
 Amazon.com, Inc ";Nom, adresse e-mail, préférences linguistiques et photo de profil ;"RGPD UE 

Inscription interdite aux moins de 16 ans. 

Accès anonyme ou avec pseudo possible pour les élèves. ";"Création de compte enseignant uniquement.  

Ne pas créer de classe. Les élèves utilisent uniquement un pseudo pour jouer. ";;Accès pour personnel scolaire;;;
;EXAM.NET;O;;"L’enseignant fournit des données à l’inscription : nom, adresse électronique, 
école, groupe, classe ou organisation, sujet(s), numéro de téléphone";"Accord parental requis pour les élèves en-dessous de 18 ans. 

Exam.net ne partage pas les données avec des tiers et ne vend pas les données. 

Les données de l’enseignant sont conservées 3.5 ans après dernière connexion. 

Les données des tests supprimés par l’enseignant disparaissent. Sinon, elles sont archivées 180 jours après le test et éliminées 3 ans après archivage. ";"Login enseignant via Edulog uniquement ! 

Veiller à supprimer les tests une fois les résultats exploités.  

Privilégier l’utilisation d’un pseudo ou du seul prénom des élèves au moment de passer l’examen.  

Ne pas rattacher à l’adresse e-mail des élèves. ";;Accès pour personnel scolaire;;;
;FIZZIQ;V;USA - Missouri - Google LLC;"Seules données collectées : données utilisées pour remplir le formulaire de contact sur le site internet. Ces données ne sont communiquées qu'à une personne : Christophe Chazot.

L'application ne recueille aucune donnée.";;;;n'existe pas;;;
;FLORA INCOGNITA (app);V (sous conditions);Allemagne  ;"Pseudo et mot de passe, détails de l'observation, images enregistrées, métadonnées de la photo, adresse IP, infos sur l'appareil

Les données ne sont pas transmises à des tiers.";L'application a besoin de la localisation GPS pour fonctionner.;Comme l'application a besoin de la localisation GPS pour fonctionner, privilégier une installation sur les appareils de l'école (et nons sur les appareils privés des élèves).;;n'existe pas;;;
;FOXIT READER;O ;USA - Californie - Cloudflare Inc;Utilisation de l'IA : Pour améliorer le temps de réponse de AI Q&A, le contenu PDF sera chiffré à l'aide d'AES-256 bits et mis en cache pendant 48 heures, puis il sera automatiquement supprimé. Les données cryptées sont stockées dans Amazon EFS ou Azure Files.;Tous les fichiers que vous téléchargez sur les services cloud Foxit et les données que vous avez créées à l'aide des services Foxit sont stockés par Foxit. À moins que vous ne choisissiez de stocker les fichiers et les données sur un serveur Foxit pour une utilisation ultérieure, tous ces fichiers que vous avez téléchargés seront supprimés une fois le processus terminé et les fichiers de sortie seront généralement supprimés en une journée. Pendant ce temps, Foxit ne consulte pas les fichiers ni n'en extrait aucune donnée. Aucune sauvegarde n'est faite des fichiers téléchargés de transition ou de leur sortie traitée, et le contenu de ces fichiers ne n'est pas surveillé sans votre autorisation explicite.;"Création de compte réservée aux enseignants. 

Eviter de conserver des fichiers contenant des données sensibles / personnelles sur le cloud. 

De même, faire attention avec les outils d'IA et ne pas les utiliser sur des documents contenant des données personnelles/sensibles.";;Accès pour personnel scolaire;;;
;FRAMASOFT;V;Allemagne - Sachsen - Hetzner Online AG;A l'inscription : adresse e-mail et mot de passe.;Récolte des statistiques anonymisées. Ne vend pas ni ne transmet les données.;"Usage pseudonymisé. 
Attention de ne pas intégrer de données personnelles d'élèves dans les travaux réalisés en ligne.";;n'existe pas;;;
;GARMIN CONNECT;R;"USA - Californie - Cloudflare Inc

Pour la Suisse, les données sont conservées en Allemagne";"nom, adresse e-mail, préférences linguistiques et photo de profil

adresse IP, l'heure et la date de synchronisation et le niveau de la batterie

la date et l'heure d'accès à nos serveurs, l'emplacement de l'appareil, les paramètres de langue, les informations et les fichiers téléchargés, le comportement de l'utilisateur, l'état de l'appareil, le modèle d'appareil, le matériel et les informations du système d'exploitation";"Pas destiné aux moins de 16 ans.

Envoie des courriels ou notifications de marketing si l'option n'a pas été décochée.

Garmin peut transférer vos données personnelles à une société affiliée, une filiale ou un tiers en cas de réorganisation. Les données peuvent être envoyées vers d'autres pays (dont les USA en ce qui concerne les utilisateurs suisses).";Les données recueillies sont conservées en ligne par Garmin. Certaines touchent à la santé et ne doivent pas être récoltées, comme c'est le cas notamment du rythme cardiaque.;;bloqué;;;
;GENIALLY;O;Irlande -  Amazon.com, Inc. ;"
Nom, adresse e-mail, préférences linguistiques et photo de profil";"Création de compte pour les moins de 16 ans
 avec accord des parents ! ";Création de compte réservée aux enseignants.;;Accès pour personnel scolaire;;;
;GEOGEBRA;V;;;;;;autorisé;;;
;GIMKIT;O;USA;élèves : prénom, première lettre du nom de famille et adresse e-mail;"Usage interdit avant 13 ans. Consentement parental nécessaire jusqu'à 16 ans en cas de création de compte.

Ne vend pas les données. Données collectées pour le fonctionnement de la plateforme.";Privilégier un usage sans compte élève. Dans le cas de la création d'un compte élève, choisir des pseudos plutôt que de réelles informations et faire attention à ce que les élèves choisissent un mot de passe différent de leur mot de passe edu.jura!;;n'existe pas;;;
;GLOSE;R;USA – Missouri – Google LLC ;"A l’inscription :  nom,  adresse e-mail, préférences linguistiques et photo de profil   

Récupère aussi : identifiants de connexion, Adresse IP, Photographie (« Avatar »), Type et version du navigateur utilisé, Système d’information 

Données de profil de lecture collectées : Livres lus/ouverts/importés ; Goûts et préférences de lecture, Temps de lecture, date et heure de lecture, Contributions (annotations, citations, critiques, passages surlignés), Appartenance à des Groupes de lecture, historique des pages du Site visitées, date et heure de visite, temps passé sur chaque page ";"Inscription réservée aux plus de 15 ans. 

A sa création, un profil se trouve en mode public. 

Le site permet de se connecter à d’autres utilisateurs et d’échanger avec eux. Il se considère comme un réseau social. ";;;Bloqué;;;
;JSTOR;O ;USA - Californie - Fastly Inc.;"nom, photo, nom d'utilisateur

Ne vend pas les données

Recueille l'adresse IP, les infos de journal, d'utilisation du site, de l'appareil, navigateur, fournisseur internet...

Peut transférer des données à des sous-traitants avec lesquels le site a des relations commerciales (dont beaucoup sont aux USA).";Interdit aux moins de 16 ans.;;"à autoriser pour 
enseignants 
uniquement";;;;
;JUNGLEAI;R;;adresse e-mail, prénom, nom, mot de passe, données d'utilisation;Ne s'adresse pas aux personnes de moins de 13 ans;Utilisation basée uniquement sur l'IA;à bloquer;;;;
;KAHOOT;O;USA - Oregon - Portland - Amazon.com, Inc. ;"Compte enseignant :  nom,  adresse e-mail,  préférences linguistiques et votre photo de profil  

Joueurs élève :  pseudonyme 

Compte élève particulier :  En ce qui concerne les enfants de moins de 13 ans, les informations personnelles se limitent à une adresse e-mail, hachée  immédiatement et de manière permanente afin qu’elle puisse être utilisée uniquement comme rappel de mot de passe (et non pour contacter l’enfant).  Nom d’utilisateur et mot de passe recueillis auprès des titulaires de comptes enfants (=l’enseignant qui inscrit l’élève), qui sont utilisés uniquement à des fins de connexion, afin de permettre au titulaire du compte enfant d’utiliser les services. ";"
RGPD UE / EE 

Comptes élèves : ne recueille pas, ne conserve pas, n’utilise pas et ne partage pas les renseignements personnels des élèves. 

Kahoot anonymise les informations collectées automatiquement avant de les utiliser. 

Enseignant :  Les informations sur le navigateur ou l’appareil qui sont collectées par le biais de votre appareil, telles que l’adresse MAC (Media Access Control), le type d’ordinateur (Windows ou Macintosh), la résolution de l’écran, le nom et la version du système d’exploitation, le fabricant et le modèle de l’appareil, la langue, le type et la version du navigateur Internet et la version des Services (tels que l’application) ";"Création de compte réservée aux enseignants.

Ne pas créer de comptes élèves pour que ceux-ci fassent leur popre kahoot. Faire utiliser des pseudonymes aux élèves pour jouer une partie. 

Pour l’utilisation de contenu plus spécifique, comme les applications, l’enseignant fournit un QR code qui permet de jouer gratuitement et ne nécessite pas de connexion particulière. ";;Accès pour personnel scolaire;;;
;KIALO EDU;V;;;;Autorisé dans le navigateur EDUCA.;;n'existe pas;;;
;KNOWT;"O 
(sous conditions)";;"Adulte : votre nom, votre nom d'utilisateur, votre adresse e-mail et votre date de naissance

Collecte les photos, documents ou autres fichiers que vous téléchargez. ";"Interdit en-dessous de 13 ans. Consentement des parents requis. Ne collecte, n'utilise ni ne divulgue les informations personnelles d'un enfant si l'école ne dit pas être d'accord. Il existe un formulaire qu'il est possible de faire signer à la plateforme pour obtenir un accord de confidentialité particulier : https://form.fillout.com/t/aymZi6NipYus

Sous réserve de nos accords avec ces écoles, peut collecter ou recevoir des informations sur le  “dossiers des élèves”, qui peuvent inclure les résultats scolaires relatifs à l'utilisation des services.

";"Privilégier les jeux sans création de compte élève.

En anglais uniquement.

Il est possible d'importer ses listes Quizlet sur cette plateforme.";;n'existe pas;;;
;LEARNINGAPPS;O ;Allemagne - Sachsen - Hetzner Online AG;;Ne transmet aucune donnée personnelle à des tiers.;Si les élèves créent un compte, anonymiser les informations.;;n'existe pas;;;
;LEARNINGVIEW.ORG;V;Allemagne - Sachsen - Hetzner Online AG;;;Approuvé par le navigateur EDUCA.;;autorisé;;;
